date,observation_hour,observation_minute,location,temperature,humidity,wind_speed,weather_condition,flower_species,nectar_production,pollinator_species,pollinator_group,visit_count,avg_body_mass_g,avg_wing_span_mm
2024-06-01,19,13,Plot C,21,82.1,12,Partly Cloudy,Lavender,0.63,Carpenter Bee,Large Bee,1,0.364,43
2024-06-01,11,31,Plot C,24.7,82.8,10.2,Sunny,Coneflower,0.53,Honeybee,Small Bee,5,0.099,20.1
2024-06-01,14,16,Plot D,27.3,84.3,12.7,Sunny,Sunflower,1,Honeybee,Small Bee,5,0.105,21.4
2024-06-01,14,49,Plot D,28.4,66.2,3.2,Cloudy,Lavender,0.49,Bumblebee,Medium Bee,26,0.234,38.1
2024-06-01,17,33,Plot A,24.2,70.8,13.4,Cloudy,Sunflower,0.91,Carpenter Bee,Large Bee,5,0.443,44.8
2024-06-01,11,12,Plot D,22.4,88.9,8.4,Partly Cloudy,Lavender,0.63,Bumblebee,Medium Bee,5,0.239,32.4
2024-06-01,16,10,Plot C,26,61.2,11.7,Sunny,Coneflower,0.57,Honeybee,Small Bee,2,0.104,20.3
2024-06-01,8,6,Plot B,17.1,81.4,1.5,Cloudy,Lavender,0.47,Honeybee,Small Bee,10,0.107,20.8
2024-06-01,9,51,Plot A,18.9,62,7.6,Cloudy,Lavender,0.45,Carpenter Bee,Large Bee,7,0.447,38.1
2024-06-01,9,35,Plot A,24.7,70.8,5.5,Sunny,Lavender,0.44,Carpenter Bee,Large Bee,6,0.516,44.5
2024-06-01,18,39,Plot C,23.8,72.2,18.8,Partly Cloudy,Sunflower,0.88,Carpenter Bee,Large Bee,3,0.385,45.8
2024-06-02,15,7,Plot D,27.4,62.1,1.7,Partly Cloudy,Lavender,0.66,Honeybee,Small Bee,25,0.101,17.7
2024-06-02,7,33,Plot A,20.7,88.2,15.6,Partly Cloudy,Coneflower,0.56,Bumblebee,Medium Bee,1,0.269,35.7
2024-06-02,16,47,Plot C,22.4,63.4,13.7,Sunny,Coneflower,0.66,Carpenter Bee,Large Bee,2,0.454,38
2024-06-02,11,48,Plot C,28.6,61.1,11.3,Sunny,Lavender,0.49,Carpenter Bee,Large Bee,7,0.457,47
2024-06-02,15,52,Plot C,24.7,83,17.1,Partly Cloudy,Coneflower,0.51,Carpenter Bee,Large Bee,2,0.452,43.5
2024-06-02,19,19,Plot A,14.6,85.8,9.3,Sunny,Coneflower,0.53,Carpenter Bee,Large Bee,2,0.408,38.8
2024-06-02,13,38,Plot A,29.6,65.1,18.8,Cloudy,Lavender,0.47,Bumblebee,Medium Bee,7,0.256,31.5
2024-06-02,15,42,Plot C,21.4,75.8,11.1,Cloudy,Coneflower,0.55,Carpenter Bee,Large Bee,3,0.468,41.2
2024-06-03,7,19,Plot A,21.6,84.7,5.2,Partly Cloudy,Coneflower,0.73,Carpenter Bee,Large Bee,6,0.424,44.8
2024-06-03,19,33,Plot C,16.2,76.4,11.6,Cloudy,Coneflower,0.68,Carpenter Bee,Large Bee,1,0.476,39.6
2024-06-03,19,6,Plot A,21.4,72.4,9,Cloudy,Coneflower,0.76,Bumblebee,Medium Bee,7,0.206,40.9
2024-06-03,9,4,Plot C,22.3,89.4,18.4,Partly Cloudy,Coneflower,0.53,Carpenter Bee,Large Bee,3,0.403,35
2024-06-03,10,13,Plot C,25.5,87.6,4.5,Sunny,Sunflower,1,Honeybee,Small Bee,18,0.105,18.6
2024-06-03,19,18,Plot A,16.4,74.1,12.3,Partly Cloudy,Coneflower,0.64,Honeybee,Small Bee,1,0.092,21.1
2024-06-03,15,29,Plot A,22.5,67.6,7.5,Sunny,Coneflower,0.73,Honeybee,Small Bee,1,0.1,17.9
2024-06-03,12,19,Plot D,26.2,79.7,12.5,Partly Cloudy,Sunflower,0.85,Honeybee,Small Bee,6,0.111,15.7
2024-06-03,8,44,Plot A,21,61.7,9.2,Partly Cloudy,Sunflower,1.08,Carpenter Bee,Large Bee,4,0.457,42.3
2024-06-04,18,49,Plot A,19.4,89.8,9.3,Sunny,Lavender,0.52,Bumblebee,Medium Bee,1,0.227,31.5
2024-06-04,11,14,Plot D,24.9,86.6,7.9,Cloudy,Lavender,0.57,Bumblebee,Medium Bee,5,0.25,26.1
2024-06-04,18,44,Plot D,23.7,86.5,16.5,Cloudy,Sunflower,0.94,Bumblebee,Medium Bee,1,0.24,37.7
