date,station,severity,staffing_count,response_time_minutes
2015-01-17,28 St,medium,13,9.4
2015-01-28,59 St-Columbus Circle,high,6,15.6
2015-02-06,Christopher St,low,15,6.9
2015-02-20,Herald Sq-34 St,high,15,4.5
2015-03-02,34 St-Penn Station,low,15,5.1
2015-03-07,Spring St,low,11,8.4
2015-03-08,Herald Sq-34 St,low,15,5.8
2015-03-10,34 St-Penn Station,medium,15,4.6
2015-03-11,Herald Sq-34 St,medium,15,5.2
2015-03-13,28 St,medium,14,5.4
2015-03-21,Christopher St,high,14,12.4
2015-04-06,Wall St,medium,8,9
2015-04-14,Bowling Green,low,7,19.1
2015-04-30,59 St-Columbus Circle,medium,7,17.6
2015-05-02,125 St,high,7,15.2
2015-05-11,Bowling Green,low,6,13.2
2015-05-28,86 St,high,19,4.7
2015-06-01,Astor Pl,high,7,21.7
2015-06-08,Canal St,high,5,13.1
2015-06-15,23 St,low,9,12.5
2015-06-18,Wall St,medium,10,13.4
2015-06-30,Chambers St,low,19,3.9
2015-07-11,23 St,low,8,8.3
2015-07-17,Bowling Green,high,6,19.3
2015-07-17,14 St-Union Sq,low,4,20.2
2015-07-19,42 St-Port Authority,medium,13,11.8
2015-07-25,72 St,low,10,6.8
2015-07-27,96 St,low,19,4.8
2015-07-31,28 St,high,12,11
2015-08-10,66 St-Lincoln Center,medium,14,6.6
2015-09-01,50 St,low,20,8.5
2015-09-12,59 St-Columbus Circle,high,7,22.6
2015-09-18,42 St-Port Authority,medium,13,11.7
2015-10-02,Bowling Green,low,6,14.4
2015-10-15,72 St,low,10,6.1
2015-10-19,Astor Pl,medium,7,22
2015-10-22,72 St,low,10,9.6
2015-10-23,66 St-Lincoln Center,high,15,5.4
2015-10-29,Herald Sq-34 St,medium,15,7.7
2015-11-03,Fulton St,low,18,5.5
2015-11-05,50 St,high,20,4.2
2015-11-15,Grand Central-42 St,medium,18,7.2
2015-11-16,23 St,high,8,15.9
2015-11-26,Houston St,low,19,4.1
2015-11-29,Spring St,high,10,6.5
2015-12-03,West 4 St-Wash Sq,low,4,12.1
2016-01-07,86 St,high,19,6
2016-01-09,96 St,high,19,6.3
2016-01-13,86 St,low,20,4
2016-01-24,Houston St,medium,19,5.1
2016-02-03,Houston St,low,19,4.5
2016-02-16,66 St-Lincoln Center,medium,15,7
2016-02-17,Grand Central-42 St,low,18,7.7
2016-03-08,Houston St,high,19,2.7
2016-03-16,Canal St,low,4,18.9
