date,event_name,nearby_station,estimated_attendance
2025-07-01,Art Exhibition Opening,Spring St,5455
2025-06-27,Charity Run,28 St,14128
2025-07-13,Food Festival,Grand Central-42 St,8659
2025-06-22,Block Party,Christopher St,12113
2025-08-13,Summer Concert Series,34 St-Penn Station,10844
2025-07-17,Gallery Opening,Chambers St,4385
2025-08-06,Book Fair,66 St-Lincoln Center,13908
2025-06-19,Comedy Show,Herald Sq-34 St,13754
2025-07-23,Food Festival,72 St,4216
2025-06-23,Jazz Festival,66 St-Lincoln Center,7137
2025-06-10,Block Party,Herald Sq-34 St,1172
2025-07-08,Baseball Game,72 St,4964
2025-07-23,Shakespeare in the Park,42 St-Port Authority,640
2025-07-24,Wine Tasting,59 St-Columbus Circle,3564
2025-06-21,Art Exhibition Opening,28 St,11785
2025-06-10,Museum Night,Bowling Green,2730
2025-06-23,Shakespeare in the Park,50 St,8253
2025-07-16,Pride Parade,Chambers St,12407
2025-06-15,Beer Garden Opening,125 St,13106
2025-06-24,Fireworks Display,86 St,6911
2025-06-10,Summer Concert Series,72 St,8916
2025-06-07,Gallery Opening,14 St-Union Sq,9472
2025-08-09,Craft Fair,14 St-Union Sq,5424
2025-06-04,Summer Concert Series,42 St-Port Authority,8618
2025-06-13,Pride Parade,Wall St,9639
2025-07-10,Baseball Game,59 St-Columbus Circle,9234
2025-08-11,Comedy Show,Houston St,10317
2025-07-14,Outdoor Movie Screening,Wall St,4336
2025-07-30,Pride Parade,50 St,2197
2025-08-08,Farmers Market,34 St-Penn Station,5147
2025-08-09,Craft Fair,Grand Central-42 St,9685
2025-07-20,Craft Fair,Fulton St,1282
2025-07-09,Book Fair,96 St,5854
2025-08-05,Outdoor Movie Screening,50 St,8886
2025-07-05,Farmers Market,125 St,8686
2025-07-31,Outdoor Movie Screening,125 St,3144
2025-06-25,Wine Tasting,23 St,6533
2025-06-14,Pride Parade,72 St,7375
2025-06-18,Gallery Opening,72 St,14726
2025-06-17,Baseball Game,42 St-Port Authority,3377
2025-07-14,Cultural Festival,Grand Central-42 St,5970
2025-06-23,Fireworks Display,West 4 St-Wash Sq,1120
2025-07-11,Outdoor Yoga,59 St-Columbus Circle,10010
2025-06-13,Summer Concert Series,66 St-Lincoln Center,3333
2025-06-27,Fireworks Display,96 St,3567
2025-07-25,Outdoor Yoga,72 St,13371
2025-06-11,Beer Garden Opening,Fulton St,1470
2025-06-07,Outdoor Movie Screening,Spring St,6759
2025-08-11,Summer Concert Series,50 St,7407
2025-07-21,Baseball Game,66 St-Lincoln Center,14230
2025-06-21,Cultural Festival,72 St,1154
2025-06-08,Street Fair,Grand Central-42 St,11101
2025-07-10,Art Exhibition Opening,Astor Pl,11515
2025-08-12,Book Fair,Bowling Green,6661
2025-07-27,Charity Run,34 St-Penn Station,9350
2025-06-20,Wine Tasting,66 St-Lincoln Center,2715
2025-06-06,Book Fair,Christopher St,14323
2025-07-01,Gallery Opening,50 St,13396
2025-07-23,Fireworks Display,14 St-Union Sq,9496
