date,station,entrances,exits
2025-06-01,Times Sq-42 St,16876,15927
2025-06-01,Grand Central-42 St,18776,19396
2025-06-01,34 St-Penn Station,12744,13680
2025-06-01,14 St-Union Sq,6524,7262
2025-06-01,Fulton St,15193,15060
2025-06-01,42 St-Port Authority,13690,13571
2025-06-01,Herald Sq-34 St,13748,13448
2025-06-01,Canal St,7544,7146
2025-06-01,59 St-Columbus Circle,7470,8778
2025-06-01,125 St,10148,9454
2025-06-01,96 St,18883,17555
2025-06-01,86 St,19829,20388
2025-06-01,72 St,11716,10018
2025-06-01,66 St-Lincoln Center,14773,14045
2025-06-01,50 St,20919,21397
2025-06-01,28 St,13227,14034
2025-06-01,23 St,7831,8507
2025-06-01,Christopher St,17695,15825
2025-06-01,Houston St,20109,18821
2025-06-01,Spring St,9891,9569
2025-06-01,Chambers St,18483,18548
2025-06-01,Wall St,7236,6563
2025-06-01,Bowling Green,8694,7454
2025-06-01,West 4 St-Wash Sq,4979,3956
2025-06-01,Astor Pl,7675,7482
2025-06-02,Times Sq-42 St,14492,15456
2025-06-02,Grand Central-42 St,17071,15888
2025-06-02,34 St-Penn Station,12229,12348
2025-06-02,14 St-Union Sq,6172,5527
2025-06-02,Fulton St,15611,15811
2025-06-02,42 St-Port Authority,10913,12055
2025-06-02,Herald Sq-34 St,14223,14152
2025-06-02,Canal St,4101,5129
2025-06-02,59 St-Columbus Circle,5597,5752
2025-06-02,125 St,6792,6392
2025-06-02,96 St,14657,15619
2025-06-02,86 St,16677,15881
2025-06-02,72 St,9501,9379
2025-06-02,66 St-Lincoln Center,12823,11872
2025-06-02,50 St,17978,19211
2025-06-02,28 St,10889,11517
2025-06-02,23 St,7322,6302
2025-06-02,Christopher St,15527,15221
2025-06-02,Houston St,19982,19399
2025-06-02,Spring St,10549,9921
2025-06-02,Chambers St,17048,17575
2025-06-02,Wall St,8863,10073
2025-06-02,Bowling Green,8050,8171
2025-06-02,West 4 St-Wash Sq,6891,6330
2025-06-02,Astor Pl,5813,5553
2025-06-03,Times Sq-42 St,19069,18459
2025-06-03,Grand Central-42 St,18113,17592
2025-06-03,34 St-Penn Station,17261,16760
2025-06-03,14 St-Union Sq,3071,3386
2025-06-03,Fulton St,14951,14612
2025-06-03,42 St-Port Authority,14098,14070
2025-06-03,Herald Sq-34 St,12796,14516
2025-06-03,Canal St,3738,4649
2025-06-03,59 St-Columbus Circle,9408,8832
2025-06-03,125 St,5207,6443
2025-06-03,96 St,17848,18586
2025-06-03,86 St,18891,17724
2025-06-03,72 St,9462,10078
2025-06-03,66 St-Lincoln Center,13949,13779
2025-06-03,50 St,18712,18923
2025-06-03,28 St,13069,12271
2025-06-03,23 St,9763,10240
2025-06-03,Christopher St,12330,12773
2025-06-03,Houston St,16454,16036
2025-06-03,Spring St,9194,10602
2025-06-03,Chambers St,17248,16734
2025-06-03,Wall St,8369,8405
2025-06-03,Bowling Green,8843,8913
2025-06-03,West 4 St-Wash Sq,7053,7270
2025-06-03,Astor Pl,10169,10227
2025-06-04,Times Sq-42 St,17217,17029
2025-06-04,Grand Central-42 St,17238,16731
2025-06-04,34 St-Penn Station,13367,13313
2025-06-04,14 St-Union Sq,5474,4884
2025-06-04,Fulton St,15072,14948
2025-06-04,42 St-Port Authority,19159,20092
2025-06-04,Herald Sq-34 St,15304,14151
2025-06-04,Canal St,4582,3768
2025-06-04,59 St-Columbus Circle,6926,8357
2025-06-04,125 St,5433,5947
2025-06-04,96 St,19078,19055
2025-06-04,86 St,16808,17251
2025-06-04,72 St,8903,10497
2025-06-04,66 St-Lincoln Center,12764,13953
2025-06-04,50 St,19408,20437
2025-06-04,28 St,12305,11277
2025-06-04,23 St,8862,8491
2025-06-04,Christopher St,13385,13346
2025-06-04,Houston St,18508,18737
2025-06-04,Spring St,13278,14572
2025-06-04,Chambers St,14495,15495
2025-06-04,Wall St,12087,12115
2025-06-04,Bowling Green,8148,8100
2025-06-04,West 4 St-Wash Sq,6268,5089
2025-06-04,Astor Pl,6338,6272
2025-06-05,Times Sq-42 St,18893,19036
2025-06-05,Grand Central-42 St,16186,15977
2025-06-05,34 St-Penn Station,14322,15740
2025-06-05,14 St-Union Sq,4090,3793
2025-06-05,Fulton St,16114,16639
2025-06-05,42 St-Port Authority,13053,12658
2025-06-05,Herald Sq-34 St,16940,16230
2025-06-05,Canal St,6286,6868
2025-06-05,59 St-Columbus Circle,6794,5904
2025-06-05,125 St,6855,5463
2025-06-05,96 St,19315,21087
2025-06-05,86 St,17351,17392
2025-06-05,72 St,9791,9485
2025-06-05,66 St-Lincoln Center,13241,13198
2025-06-05,50 St,16564,16922
2025-06-05,28 St,11923,12181
2025-06-05,23 St,7192,6742
2025-06-05,Christopher St,14305,13662
2025-06-05,Houston St,17270,17633
2025-06-05,Spring St,12054,11013
2025-06-05,Chambers St,15275,15544
2025-06-05,Wall St,11419,11393
2025-06-05,Bowling Green,5984,6003
2025-06-05,West 4 St-Wash Sq,4620,4958
2025-06-05,Astor Pl,7593,9221
2025-06-06,Times Sq-42 St,13592,14776
2025-06-06,Grand Central-42 St,17743,16863
2025-06-06,34 St-Penn Station,15416,14733
2025-06-06,14 St-Union Sq,3948,5065
2025-06-06,Fulton St,16100,16464
2025-06-06,42 St-Port Authority,10235,9505
2025-06-06,Herald Sq-34 St,11755,11055
2025-06-06,Canal St,4912,4796
2025-06-06,59 St-Columbus Circle,6099,6845
2025-06-06,125 St,11221,10972
2025-06-06,96 St,18503,18011
2025-06-06,86 St,16942,15922
2025-06-06,72 St,11076,10579
2025-06-06,66 St-Lincoln Center,14318,12721
2025-06-06,50 St,18030,18600
2025-06-06,28 St,14346,14613
2025-06-06,23 St,7095,6448
2025-06-06,Christopher St,25797,25333
2025-06-06,Houston St,19576,19610
2025-06-06,Spring St,10286,9581
2025-06-06,Chambers St,17935,18032
2025-06-06,Wall St,9480,9892
2025-06-06,Bowling Green,8507,9793
2025-06-06,West 4 St-Wash Sq,5546,6155
2025-06-06,Astor Pl,7682,7266
2025-06-07,Times Sq-42 St,15979,16126
2025-06-07,Grand Central-42 St,14831,14840
2025-06-07,34 St-Penn Station,16435,17475
2025-06-07,14 St-Union Sq,11703,12361
2025-06-07,Fulton St,17836,16959
2025-06-07,42 St-Port Authority,14297,14972
2025-06-07,Herald Sq-34 St,17178,15834
2025-06-07,Canal St,3739,3520
2025-06-07,59 St-Columbus Circle,9846,9236
2025-06-07,125 St,6330,6256
2025-06-07,96 St,19373,18212
2025-06-07,86 St,18617,18807
2025-06-07,72 St,8516,9241
2025-06-07,66 St-Lincoln Center,15087,15481
2025-06-07,50 St,19238,19661
2025-06-07,28 St,12977,12425
2025-06-07,23 St,9675,8316
2025-06-07,Christopher St,15818,15992
2025-06-07,Houston St,15997,15895
2025-06-07,Spring St,17062,15583
2025-06-07,Chambers St,17719,17936
2025-06-07,Wall St,11084,10137
2025-06-07,Bowling Green,7804,7503
2025-06-07,West 4 St-Wash Sq,5765,6456
2025-06-07,Astor Pl,9312,9316
2025-06-08,Times Sq-42 St,15584,15738
2025-06-08,Grand Central-42 St,21952,21891
2025-06-08,34 St-Penn Station,15150,15464
2025-06-08,14 St-Union Sq,5490,6069
2025-06-08,Fulton St,18953,18671
2025-06-08,42 St-Port Authority,13848,13334
2025-06-08,Herald Sq-34 St,17641,16769
2025-06-08,Canal St,7589,7127
2025-06-08,59 St-Columbus Circle,6310,7779
2025-06-08,125 St,9488,10919
