event_id,boro_cd,income_category,event_type,event_date,latitude,longitude,estimated_attendance
41,210,Low,Volunteer Training,2024-05-01,40.861789,-73.856161,234
5,211,Low,Community Meeting,2024-05-04,40.82923,-73.838284,122
124,411,High,Community Meeting,2024-05-05,40.760225,-73.748335,80
6,316,Low,Volunteer Training,2024-05-06,40.636498,-73.886269,264
50,210,Low,Rally,2024-05-08,40.869901,-73.843241,137
114,106,High,Rally,2024-05-08,40.772069,-73.965239,206
31,209,Low,Roundtable,2024-05-09,40.853841,-73.843451,276
44,203,Low,Community Meeting,2024-05-09,40.819719,-73.898308,280
53,202,Low,Town Hall,2024-05-10,40.859142,-73.901006,266
110,302,High,Town Hall,2024-05-10,40.687708,-73.968038,189
54,317,Low,Volunteer Training,2024-05-11,40.618039,-73.890066,218
85,408,Middle,Roundtable,2024-05-11,40.704311,-73.844566,33
123,104,High,Volunteer Training,2024-05-11,40.767627,-74.000153,191
35,109,Low,Community Meeting,2024-05-13,40.807391,-73.953402,165
58,202,Low,Volunteer Training,2024-05-13,40.864204,-73.917658,274
91,301,Middle,Rally,2024-05-13,40.694308,-73.989597,107
90,103,Middle,Community Meeting,2024-05-14,40.721859,-73.993892,99
99,318,Middle,Town Hall,2024-05-15,40.642115,-73.86391,124
61,109,Low,Community Meeting,2024-05-16,40.809591,-73.955219,232
77,311,Middle,Volunteer Training,2024-05-16,40.617997,-73.949203,85
128,104,High,Roundtable,2024-05-16,40.760681,-73.996336,216
37,303,Low,Community Meeting,2024-05-18,40.679471,-73.954174,275
67,209,Low,Town Hall,2024-05-20,40.843926,-73.840209,275
122,302,High,Community Meeting,2024-05-20,40.687962,-73.975836,116
73,313,Low,Volunteer Training,2024-05-22,40.636947,-73.919471,250
32,414,Low,Town Hall,2024-05-23,40.76284,-73.907361,123
129,102,High,Roundtable,2024-05-24,40.748555,-73.964748,137
59,313,Low,Volunteer Training,2024-05-26,40.636744,-73.928967,130
127,102,High,Town Hall,2024-05-30,40.751081,-73.967881,186
40,308,Low,Roundtable,2024-06-05,40.679477,-73.932909,214
55,109,Low,Community Meeting,2024-06-06,40.802826,-73.952122,108
20,112,Low,Town Hall,2024-06-09,40.842538,-73.94014,281
76,405,Middle,Rally,2024-06-12,40.718343,-73.847674,72
108,105,High,Community Meeting,2024-06-14,40.783757,-73.981524,163
130,406,High,Canvassing Kickoff,2024-06-17,40.765298,-73.812201,83
95,410,Middle,Roundtable,2024-06-18,40.707681,-73.809676,51
118,102,High,Roundtable,2024-06-19,40.741179,-73.970507,157
112,105,High,Rally,2024-06-20,40.788451,-73.967286,215
68,309,Low,Town Hall,2024-06-21,40.667279,-73.917016,144
27,203,Low,Rally,2024-06-23,40.805054,-73.898151,169
115,102,High,Canvassing Kickoff,2024-06-24,40.747948,-73.973922,200
33,202,Low,Canvassing Kickoff,2024-06-26,40.846264,-73.905298,213
47,206,Low,Canvassing Kickoff,2024-06-26,40.892395,-73.843416,235
39,303,Low,Community Meeting,2024-06-27,40.683562,-73.945225,113
14,212,Low,Canvassing Kickoff,2024-06-28,40.825166,-73.869113,222
98,408,Middle,Roundtable,2024-06-28,40.7089,-73.854338,40
46,303,Low,Town Hall,2024-07-03,40.674933,-73.940077,198
88,501,Middle,Community Meeting,2024-07-05,40.622411,-74.150143,116
26,303,Low,Canvassing Kickoff,2024-07-07,40.677611,-73.951793,102
107,302,High,Volunteer Training,2024-07-07,40.69856,-73.968552,171
21,309,Low,Volunteer Training,2024-07-12,40.655111,-73.930716,276
109,105,High,Roundtable,2024-07-12,40.778522,-73.984442,223
12,211,Low,Town Hall,2024-07-13,40.833635,-73.84641,137
119,411,High,Rally,2024-07-13,40.767247,-73.747607,219
86,413,Middle,Roundtable,2024-07-15,40.681168,-73.761026,95
105,101,High,Roundtable,2024-07-15,40.776289,-73.971647,185
16,316,Low,Roundtable,2024-07-17,40.643242,-73.886296,225
30,414,Low,Canvassing Kickoff,2024-07-17,40.772462,-73.892714,247
102,102,High,Town Hall,2024-07-17,40.755672,-73.970907,166
71,111,Low,Rally,2024-07-23,40.801055,-73.928245,278
2,317,Low,Rally,2024-07-24,40.625478,-73.89416,269
23,303,Low,Canvassing Kickoff,2024-07-24,40.670015,-73.95462,129
24,304,Low,Roundtable,2024-07-24,40.700874,-73.914046,178
1,203,Low,Roundtable,2024-07-25,40.814388,-73.904889,217
4,309,Low,Rally,2024-07-25,40.65684,-73.914425,294
70,304,Low,Community Meeting,2024-07-25,40.695129,-73.927572,165
15,206,Low,Town Hall,2024-07-26,40.898101,-73.842523,294
72,305,Low,Roundtable,2024-07-26,40.654234,-73.964353,294
52,204,Low,Town Hall,2024-07-28,40.836237,-73.877793,231
121,411,High,Community Meeting,2024-07-28,40.754784,-73.74187,132
74,203,Low,Town Hall,2024-07-31,40.809155,-73.894125,161
106,106,High,Community Meeting,2024-08-01,40.773409,-73.946842,162
49,111,Low,Volunteer Training,2024-08-03,40.809866,-73.935541,251
125,106,High,Rally,2024-08-03,40.765561,-73.962791,147
97,405,Middle,Volunteer Training,2024-08-04,40.730472,-73.839525,127
82,318,Middle,Town Hall,2024-08-06,40.635155,-73.86278,107
22,316,Low,Community Meeting,2024-08-11,40.647451,-73.888973,291
101,106,High,Rally,2024-08-11,40.782953,-73.960242,98
25,109,Low,Volunteer Training,2024-08-12,40.815638,-73.948577,203
60,111,Low,Town Hall,2024-08-15,40.801999,-73.937131,149
28,211,Low,Volunteer Training,2024-08-16,40.824977,-73.846018,145
79,409,Middle,Rally,2024-08-16,40.697586,-73.818177,35
10,309,Low,Town Hall,2024-08-18,40.651458,-73.933215,233
80,107,Middle,Rally,2024-08-18,40.742132,-74.00149,88
43,111,Low,Rally,2024-08-19,40.801473,-73.937861,124
94,413,Middle,Community Meeting,2024-08-21,40.668702,-73.760969,45
126,302,High,Community Meeting,2024-08-22,40.703531,-73.980311,177
13,316,Low,Community Meeting,2024-08-23,40.632577,-73.890066,262
103,106,High,Canvassing Kickoff,2024-08-25,40.76869,-73.964048,180
36,316,Low,Canvassing Kickoff,2024-08-30,40.637593,-73.894157,268
42,207,Low,Community Meeting,2024-08-31,40.869299,-73.874762,256
117,106,High,Rally,2024-09-02,40.772641,-73.957638,97
104,101,High,Community Meeting,2024-09-03,40.774812,-73.959659,151
56,205,Low,Canvassing Kickoff,2024-09-04,40.846225,-73.917195,288
120,106,High,Roundtable,2024-09-04,40.763701,-73.947916,166
8,204,Low,Roundtable,2024-09-05,40.855163,-73.893429,232
87,410,Middle,Volunteer Training,2024-09-05,40.721405,-73.825964,39
11,315,Low,Volunteer Training,2024-09-06,40.666642,-73.881874,262
45,111,Low,Community Meeting,2024-09-06,40.799763,-73.945663,108
83,301,Middle,Town Hall,2024-09-06,40.691039,-73.980264,122
9,202,Low,Town Hall,2024-09-08,40.848501,-73.903677,145
100,403,Middle,Community Meeting,2024-09-08,40.751507,-73.888318,40
38,308,Low,Roundtable,2024-09-09,40.667168,-73.922351,186
17,112,Low,Roundtable,2024-09-12,40.841808,-73.945927,241
18,211,Low,Rally,2024-09-15,40.820827,-73.837134,128
75,309,Low,Volunteer Training,2024-09-19,40.661681,-73.92435,135
65,109,Low,Canvassing Kickoff,2024-09-20,40.804057,-73.950249,256
89,307,Middle,Roundtable,2024-09-20,40.656417,-73.987699,115
51,304,Low,Canvassing Kickoff,2024-09-22,40.687044,-73.923959,152
48,304,Low,Rally,2024-09-25,40.695315,-73.922076,198
111,302,High,Volunteer Training,2024-09-28,40.692662,-73.978493,187
92,413,Middle,Canvassing Kickoff,2024-09-30,40.685121,-73.745073,33
93,410,Middle,Canvassing Kickoff,2024-09-30,40.711202,-73.823685,119
34,315,Low,Rally,2024-10-03,40.663532,-73.888439,148
81,314,Middle,Roundtable,2024-10-03,40.63588,-73.924665,65
3,201,Low,Rally,2024-10-05,40.828527,-73.920252,187
113,102,High,Canvassing Kickoff,2024-10-07,40.756937,-73.973007,110
64,201,Low,Community Meeting,2024-10-09,40.833192,-73.919706,154
57,308,Low,Rally,2024-10-11,40.676611,-73.918334,154
78,407,Middle,Community Meeting,2024-10-11,40.751246,-73.853007,34
29,203,Low,Community Meeting,2024-10-21,40.809801,-73.907863,228
84,502,Middle,Volunteer Training,2024-10-22,40.58774,-74.141352,95
116,101,High,Volunteer Training,2024-10-22,40.789206,-73.967975,127
69,204,Low,Roundtable,2024-10-25,40.848586,-73.893254,293
19,313,Low,Volunteer Training,2024-10-30,40.641348,-73.932599,296
63,308,Low,Canvassing Kickoff,2024-10-30,40.671839,-73.93151,102
96,314,Middle,Community Meeting,2024-10-31,40.630523,-73.935237,49
62,309,Low,Roundtable,2024-11-01,40.659902,-73.917458,133
66,315,Low,Community Meeting,2024-11-01,40.679416,-73.877928,253
7,209,Low,Canvassing Kickoff,2024-11-02,40.856975,-73.840437,244
