date,station_id,species,pollution_sensitivity,count,avg_length_cm,avg_weight_g
2023-01-15,North,Trout,High,40,26.7,440.0
2023-01-15,North,Bass,Medium,57,33.7,653.0
2023-01-15,North,Carp,Low,26,40.3,1191.0
2023-01-15,South,Trout,High,40,26.9,438.0
2023-01-15,South,Bass,Medium,60,33.3,660.0
2023-01-15,South,Carp,Low,26,41.7,1194.0
2023-01-15,East,Trout,High,42,28.9,428.0
2023-01-15,East,Bass,Medium,57,35.7,669.0
2023-01-15,East,Carp,Low,23,40.8,1232.0
2023-01-15,West,Trout,High,43,26.9,432.0
2023-01-15,West,Bass,Medium,60,35.4,701.0
2023-01-15,West,Carp,Low,23,42.2,1257.0
2023-04-16,North,Trout,High,42,26.8,441.0
2023-04-16,North,Bass,Medium,59,36.3,671.0
2023-04-16,North,Carp,Low,23,42.9,1145.0
2023-04-16,South,Trout,High,40,28.8,472.0
2023-04-16,South,Bass,Medium,57,36.3,672.0
2023-04-16,South,Carp,Low,25,42.6,1184.0
2023-04-16,East,Trout,High,41,27.6,458.0
2023-04-16,East,Bass,Medium,55,35.4,658.0
2023-04-16,East,Carp,Low,23,40.6,1186.0
2023-04-16,West,Trout,High,42,27.2,442.0
2023-04-16,West,Bass,Medium,54,34.1,648.0
2023-04-16,West,Carp,Low,23,41.6,1148.0
2023-07-16,North,Trout,High,42,29.1,442.0
2023-07-16,North,Bass,Medium,57,34.6,708.0
2023-07-16,North,Carp,Low,25,40.5,1157.0
2023-07-16,South,Trout,High,42,28.1,461.0
2023-07-16,South,Bass,Medium,44,36.4,673.0
2023-07-16,South,Carp,Low,23,44.1,1157.0
2023-07-16,East,Trout,High,41,26.9,430.0
2023-07-16,East,Bass,Medium,54,33.8,657.0
2023-07-16,East,Carp,Low,25,42.4,1186.0
2023-07-16,West,Trout,High,32,26.6,420.0
2023-07-16,West,Bass,Medium,49,35.1,712.0
2023-07-16,West,Carp,Low,22,42.8,1154.0
2023-10-15,North,Trout,High,41,28.7,462.0
2023-10-15,North,Bass,Medium,56,33.6,676.0
2023-10-15,North,Carp,Low,26,39.9,1227.0
2023-10-15,South,Trout,High,39,29.3,462.0
2023-10-15,South,Bass,Medium,60,36.4,705.0
2023-10-15,South,Carp,Low,25,43.4,1201.0
2023-10-15,East,Trout,High,38,27.0,462.0
2023-10-15,East,Bass,Medium,58,36.6,709.0
2023-10-15,East,Carp,Low,23,42.4,1199.0
2023-10-15,West,Trout,High,30,29.2,467.0
2023-10-15,West,Bass,Medium,49,34.1,662.0
2023-10-15,West,Carp,Low,27,43.9,1150.0
2024-01-14,North,Trout,High,39,28.9,472.0
2024-01-14,North,Bass,Medium,57,35.9,655.0
2024-01-14,North,Carp,Low,26,43.9,1160.0
2024-01-14,South,Trout,High,40,29.0,447.0
2024-01-14,South,Bass,Medium,57,36.5,697.0
2024-01-14,South,Carp,Low,24,42.9,1188.0
2024-01-14,East,Trout,High,38,27.8,451.0
2024-01-14,East,Bass,Medium,53,34.1,650.0
2024-01-14,East,Carp,Low,23,42.4,1168.0
2024-01-14,West,Trout,High,21,25.9,404.0
2024-01-14,West,Bass,Medium,38,33.3,636.0
2024-01-14,West,Carp,Low,25,42.9,1147.0
2024-04-14,North,Trout,High,35,29.1,466.0
2024-04-14,North,Bass,Medium,53,35.0,665.0
2024-04-14,North,Carp,Low,27,40.8,1156.0
2024-04-14,South,Trout,High,39,28.2,438.0
2024-04-14,South,Bass,Medium,59,36.1,659.0
2024-04-14,South,Carp,Low,24,42.7,1183.0
2024-04-14,East,Trout,High,38,27.9,460.0
2024-04-14,East,Bass,Medium,53,33.5,696.0
2024-04-14,East,Carp,Low,24,40.9,1163.0
2024-04-14,West,Trout,High,25,26.1,410.0
2024-04-14,West,Bass,Medium,41,34.7,665.0
2024-04-14,West,Carp,Low,27,43.6,1149.0
2024-07-14,North,Trout,High,38,26.9,457.0
2024-07-14,North,Bass,Medium,56,36.2,712.0
2024-07-14,North,Carp,Low,25,40.6,1198.0
2024-07-14,South,Trout,High,35,29.0,468.0
2024-07-14,South,Bass,Medium,42,34.6,713.0
2024-07-14,South,Carp,Low,26,43.8,1234.0
2024-07-14,East,Trout,High,36,27.8,471.0
2024-07-14,East,Bass,Medium,56,35.6,679.0
2024-07-14,East,Carp,Low,25,41.1,1256.0
2024-07-14,West,Trout,High,22,25.7,401.0
2024-07-14,West,Bass,Medium,40,33.1,631.0
2024-07-14,West,Carp,Low,27,43.0,1147.0
2024-10-13,North,Trout,High,38,27.9,469.0
2024-10-13,North,Bass,Medium,55,33.8,711.0
2024-10-13,North,Carp,Low,25,43.5,1148.0
2024-10-13,South,Trout,High,34,28.5,438.0
2024-10-13,South,Bass,Medium,56,36.5,685.0
2024-10-13,South,Carp,Low,29,42.4,1214.0
2024-10-13,East,Trout,High,37,28.4,453.0
2024-10-13,East,Bass,Medium,53,36.5,660.0
2024-10-13,East,Carp,Low,27,40.9,1187.0
2024-10-13,West,Trout,High,13,25.1,387.0
2024-10-13,West,Bass,Medium,37,32.9,626.0
2024-10-13,West,Carp,Low,31,43.8,1252.0
